id,lang,idiom,type,genlang_point,map,feature,value1,value1_name,value2,value2_name,case governed by postposition,type of spatial case,instrumental,value_as_in_source,source,page,comment,contributor,form,example_as_in_source,example,gloss,translation_as_in_source,translation,example_source,example_page,example_comment,date
14,Budukh,Budukh,village,yes,yes,Comitative,case,Type of marking,instrumental,Case form,,,=comitative,орудно-сопроводительный падеж,talibov2007,83,base: noun in the dative,"Sara Zadykyan, Chiara Naccarato",-yn,,Зар лаlхlиlлдыз-ын гlошхорави,,Корова с теленком идет,The cow goes with its calf,talibov2007,84,,10.2020
15,Chamalal,Upper Gakvari,village,yes,yes,Comitative,clitic,Type of marking,no_case,Case form,,,ergative,совместный падеж,bokarev1949a,47,,"Sara Zadykyan, Chiara Naccarato",=č'ã,,дӣ̃ вуна има=ла=чlа̃ (//има=чlа̃) вогъулlал,,я пошел с отцом в лес,I went to the forest with (my) father,bokarev1949a,47,,10.2020
16,Chechen,Standard Chechen,language,yes,yes,Comitative,case,Type of marking,instrumental,Case form,,,=comitative,,jakovlev1960,32,,"Sara Zadykyan, Chiara Naccarato",-ca,,ħa txüŏ-ca v-oːǧu?,you.sg we.excl.obl-ins m-go,Are you going with us?,Are you going with us?,nichols1994,70,,10.2020
17,Dargwa,Standard Dargwa,language,yes,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, comitative, instrumental",,musaev2002,47,instrumental semantics,"Sara Zadykyan, Chiara Naccarato",-čil,,,,,,,,,10.2020
18,Dargwa,Mehweb,village,no,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, comitative",,chechuro2019,62,instrumental semantics,"Sara Zadykyan, Chiara Naccarato",-ču,,sune-la ħalmic’ir-t-iču‹w›ijal urši helle w-erχ-ur,refl.obl-gen animal-pl-com‹m› boy here(lat) m-enter(pfv)-aor,The boy entered with his animals,The boy entered with his animals,kozhukhar2019,276,,10.2020
19,Dargwa,Sanzhi,village,no,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, comitative",,forker2020dargwa,"65, 572","instrumental, manner, experiencer; origin: inlative + genitive","Sara Zadykyan, Chiara Naccarato",-cːella,,(...) di-la juldašː-a-cːella,I.obl-gen friend-obl.pl-com,(...) with my friends,(...) with my friends,forker2020dargwa,65,,10.2020
20,Dargwa,Sanzhi,village,no,no,Comitative,case,Type of marking,spatial,Case form,,inelative,,in-ablative,forker2020dargwa,"73, 572",can be used with postposition b-alli 'together'; used more rarely than comitative,"Sara Zadykyan, Chiara Naccarato",-cːe-r,,hel-ka sa-∅-jʁ-ib nik’a durħuˁ welisipjed-li-cːe-r,that-down hither-m-come(pfv)-pret small boy bike-obl-in-abl,From over there a little boy with a bike came,From over there a little boy with a bike came,forker2020dargwa,73,,10.2020
21,Dargwa,Akusha,dialect_nt1,no,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, comitative, instrumental",совместный падеж,abdullaev1954,108,instrumental semantics; can be used with postposition CM-arχ,"Sara Zadykyan, Chiara Naccarato",-čil ,,Али-чил вацlализи вякьунра,,C Али я пошел в лес,I went to the forest with Ali,abdullaev1954,108,,10.2020
22,Dargwa,Itsari,village,no,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, comitative, instrumental",,sumbatovamutalov2003,NA (20),instrumental semantics,"Sara Zadykyan, Chiara Naccarato",-cːilli,,du tːatːi-cːilli wac'a-cːi w-aIr-un-da,I father-com forest-illat m-go(pfv)-pret-1,I went to the forest with the father,I went to the forest with (my) father,sumbatovamutalov2003,NA (25),,10.2020
23,Dargwa,Tanty,village,no,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, comitative",,sumbatovalander2014,64,instrumental semantics,"Sara Zadykyan, Chiara Naccarato",-cːele,,učitelj w-až-ib=da rasul-li-cːele,teacher m-see(pfv)-pret=1 Rasul-obl-com,Я увидел учителя с Расулом / Мы с Расулом увидели учителя,I saw the teacher with Rasul / Rasul and I saw the teacher,sumbatovalander2014,64,,10.2020
24,Dargwa,Kubachi,village,no,yes,Comitative,case,Type of marking,comitative,Case form,,,"ergative, comitative",,magometov1963,30,instrumental semantics,"Sara Zadykyan, Chiara Naccarato",-cːil ,,,,,,,,,10.2020
25,Godoberi,Godoberi,village,yes,yes,Comitative,clitic,Type of marking,no_case,Case form,,,ergative,,fedorova1996,90,can be used with the postposition sanu,"Sara Zadykyan, Chiara Naccarato",=laɬi,,ima waša=laɬi (sanu) ruš-ƛi wu-na,father son=com (together) forest.obl-inter m-go.pst,The father with his son went to the forest,The father with his son went to the forest,fedorova1996,90,,10.2020
