id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
762	Dekh-yiste	Дех-йисте	42,835555	45,731973	Chechen	Nakh	East Caucasian		Chechen									Dekh-yiste	chec1245	#996600	#996633	07.02.2021
1525	Kafyr-Kumukh	Кафыр-Кумух	42,83754	47,15412	Kumyk	Kipchak	Turkic		Kumyk	Buynaksk	Буйнакский							Kafyr-Kumukh	kumy1244	#a6a6a6	#666666	07.02.2021
763	Ochaki	Очаки	42,838889	45,322222	Chechen	Nakh	East Caucasian		Chechen									Ochaki	chec1245	#996600	#996633	07.02.2021
764	Khal-kiloy	Хал-килой	42,838889	45,818056	Chechen	Nakh	East Caucasian		Chechen									Khal-kiloy	chec1245	#996600	#996633	07.02.2021
765	Kozhvinchu	Кожвинчу	42,840278	45,223611	Chechen	Nakh	East Caucasian		Chechen									Kozhvinchu	chec1245	#996600	#996633	07.02.2021
766	Nikhaloy	Нихалой	42,840278	45,662778	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский							Nikhaloy	chec1245	#996600	#996633	07.02.2021
767	Satti	Сатти	42,840278	45,706111	Chechen	Nakh	East Caucasian		Chechen									Satti	chec1245	#996600	#996633	07.02.2021
768	Khakhalgi	Хахалги	42,840278	45,155556	Chechen	Nakh	East Caucasian		Chechen									Khakhalgi	chec1245	#996600	#996633	07.02.2021
769	Aslanbek-sheripovo	Асланбек-шерипово	42,841637	45,754997	Chechen	Nakh	East Caucasian		Chechen									Aslanbek-sheripovo	chec1245	#996600	#996633	07.02.2021
770	Muskali	Мускали	42,841914	45,736043	Chechen	Nakh	East Caucasian		Chechen									Muskali	chec1245	#996600	#996633	07.02.2021
771	Urdyukhoy	Урдюхой	42,842357	45,702284	Chechen	Nakh	East Caucasian		Chechen									Urdyukhoy	chec1245	#996600	#996633	07.02.2021
772	Borzoy	Борзой	42,8425	45,628056	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский	Chinkhoy	Чинхойский					Borzoy	chec1245	#996600	#996633	07.02.2021
